RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
22799,0.37998333333333334,0.0,113.575
22849,0.3808166666666667,0.0,137.11548
22899,0.38165,0.0,118.30673
22949,0.38248333333333334,0.0,55.777195
22999,0.3833166666666667,0.0,5.104128
23049,0.38415,0.0,4.4301653
23099,0.38498333333333334,0.0,31.072
23149,0.38581666666666664,0.0,28.066475
23199,0.38665,0.0,52.993706
23249,0.38748333333333335,0.0,105.352615
23299,0.38831666666666664,0.0,176.43367
23349,0.38915,0.0,184.6627
23399,0.38998333333333335,0.0,125.54539
23449,0.39081666666666665,0.0,62.44625
23499,0.39165,0.0,56.697685
23549,0.39248333333333335,0.0,53.9485
23599,0.39331666666666665,0.0,42.648064
23649,0.39415,0.0,5.380779
23699,0.39498333333333335,0.0,21.630123
23749,0.39581666666666665,0.0,86.368256
23799,0.39665,0.0,111.216896
23849,0.39748333333333336,0.0,97.65862
23899,0.39831666666666665,0.0,47.795967
23949,0.39915,0.0,23.625216
23999,0.39998333333333336,0.0,21.516886
24049,0.40081666666666665,0.0,16.710485
24099,0.40165,0.0,54.99281
24149,0.40248333333333336,0.0,74.29077
24199,0.40331666666666666,0.0,106.88034
24249,0.40415,0.0,98.107475
24299,0.4049833333333333,0.0,102.22652
24349,0.40581666666666666,0.0,90.30425
24399,0.40665,0.0,58.892887
24449,0.4074833333333333,0.0,46.227455
24499,0.40831666666666666,0.0,69.38999
24549,0.40915,0.0,119.01474
24599,0.4099833333333333,0.0,131.09384
24649,0.41081666666666666,0.0,97.92512
24699,0.41165,0.0,43.83411
24749,0.4124833333333333,0.0,0.0
24799,0.41331666666666667,0.0,0.0
24849,0.41415,0.0,7.6957865
24899,0.4149833333333333,0.0,14.579968
24949,0.41581666666666667,0.0,0.0
24999,0.41665,0.0,0.0
25049,0.4174833333333333,0.0,0.0
25099,0.41831666666666667,0.0,21.111893
25149,0.41915,0.0,21.473963
25199,0.4199833333333333,0.0,13.074432
25249,0.42081666666666667,0.0,0.0
25299,0.42165,0.0,0.0
25349,0.4224833333333333,0.0,0.0
25399,0.4233166666666667,0.0,39.54347
25449,0.42415,0.0,67.43168
25499,0.4249833333333333,0.0,80.345856
25549,0.4258166666666667,0.0,46.701057
25599,0.42665,0.0,0.0
25649,0.4274833333333333,0.0,28.674133
25699,0.4283166666666667,0.0,88.13534
25749,0.42915,0.0,113.60222
25799,0.42998333333333333,0.0,55.873707
25849,0.4308166666666667,0.0,0.0
25899,0.43165,0.0,0.0
25949,0.43248333333333333,0.0,0.0
25999,0.4333166666666667,0.0,0.0
26049,0.43415,0.0,36.166313
26099,0.43498333333333333,0.0,35.8493
26149,0.4358166666666667,0.0,59.595093
26199,0.43665,0.0,78.70925
26249,0.43748333333333334,0.0,66.66957
26299,0.4383166666666667,0.0,13.888256
26349,0.43915,0.0,5.7268906
26399,0.43998333333333334,0.0,38.558292
26449,0.4408166666666667,0.0,51.83684
26499,0.44165,0.0,41.463383
26549,0.44248333333333334,0.0,6.678016
26599,0.4433166666666667,0.0,27.301376
26649,0.44415,0.0,38.72128
26699,0.44498333333333334,0.0,30.86703
26749,0.4458166666666667,0.0,0.0
26799,0.44665,0.0,0.0
26849,0.44748333333333334,0.0,0.0
26899,0.44831666666666664,0.0,0.0
26949,0.44915,0.0,17.598463
26999,0.44998333333333335,0.0,11.62769
27049,0.45081666666666664,0.0,6.126848
27099,0.45165,0.0,7.698432
27149,0.45248333333333335,0.0,70.311424
27199,0.45331666666666665,0.0,100.61653
27249,0.45415,0.0,116.42718
27299,0.45498333333333335,0.0,80.530174
27349,0.45581666666666665,0.0,72.5306
27399,0.45665,0.0,48.188076
27449,0.45748333333333335,0.0,34.14852
27499,0.45831666666666665,0.0,8.736
27549,0.45915,0.0,14.843392
27599,0.45998333333333336,0.0,40.37316
27649,0.46081666666666665,0.0,86.982315
27699,0.46165,0.0,128.51234
27749,0.46248333333333336,0.0,166.39966
27799,0.46331666666666665,0.0,150.01582
27849,0.46415,0.0,110.39334
27899,0.46498333333333336,0.0,74.4372
27949,0.46581666666666666,0.0,26.048683
27999,0.46665,0.0,0.0
28049,0.4674833333333333,0.0,0.0
28099,0.46831666666666666,0.0,0.0
28149,0.46915,0.0,22.928896
28199,0.4699833333333333,0.0,80.68284
28249,0.47081666666666666,0.0,113.78859
28299,0.47165,0.0,111.986176
28349,0.4724833333333333,0.0,95.55268
28399,0.47331666666666666,0.0,43.817047
28449,0.47415,0.0,0.0
28499,0.4749833333333333,0.0,0.0
28549,0.47581666666666667,0.0,5.07776
28599,0.47665,0.0,43.847767
28649,0.4774833333333333,0.0,61.727657
28699,0.47831666666666667,0.0,62.37218
28749,0.47915,0.0,68.90991
28799,0.4799833333333333,0.0,65.108734
28849,0.48081666666666667,0.0,26.926678
28899,0.48165,0.0,0.0
28949,0.4824833333333333,0.0,0.0
28999,0.48331666666666667,0.0,0.0
29049,0.48415,0.0,40.02389
29099,0.4849833333333333,0.0,52.92288
29149,0.4858166666666667,0.0,66.78639
29199,0.48665,0.0,32.71356
29249,0.4874833333333333,0.0,0.0
29299,0.4883166666666667,0.0,0.0
29349,0.48915,0.0,17.979649
29399,0.4899833333333333,0.0,35.332863
29449,0.4908166666666667,0.0,32.257793
29499,0.49165,0.0,3.3449814
29549,0.49248333333333333,0.0,7.93216
29599,0.4933166666666667,0.0,49.442986
29649,0.49415,0.0,88.22426
29699,0.49498333333333333,0.0,95.22552
29749,0.4958166666666667,0.0,75.08694
29799,0.49665,0.0,25.191595
29849,0.49748333333333333,0.0,5.544277
29899,0.4983166666666667,0.0,0.0
29949,0.49915,0.0,26.588501
29999,0.49998333333333334,0.0,22.878294
30049,0.5008166666666667,0.0,5.583275
30099,0.50165,0.0,0.0
30149,0.5024833333333333,0.0,13.74592
30199,0.5033166666666666,0.0,14.56256
30249,0.50415,0.0,0.0
30299,0.5049833333333333,0.0,20.68335
30349,0.5058166666666667,0.0,38.861225
30399,0.50665,0.0,29.177856
30449,0.5074833333333333,0.0,34.501377
30499,0.5083166666666666,0.0,55.73043
30549,0.50915,0.0,76.10402
30599,0.5099833333333333,0.0,80.09003
30649,0.5108166666666667,0.0,94.97967
30699,0.51165,0.0,115.2919
30749,0.5124833333333333,0.0,123.11288
30799,0.5133166666666666,0.0,109.230934
30849,0.51415,0.0,116.713646
